X,Y,primaryindex,nummer,brunnenart_txt,historisches_baujahr,wasserart_txt,bezeichnung
8.53811951928514,47.3782743932087,851,1183.10,privater Brunnen,1992,Verteilnetz,Perronanlage Hauptbahnhof
8.53821042723775,47.3784167123801,852,1183.8,privater Brunnen,1992,Verteilnetz,Perronanlage Hauptbahnhof
8.53829439230135,47.3785652502368,853,1183.6,privater Brunnen,1992,Verteilnetz,Perronanlage Hauptbahnhof
8.53838010025266,47.3787090220106,854,1183.4,privater Brunnen,1992,Verteilnetz,Perronanlage Hauptbahnhof
8.53845565437835,47.3788368970538,855,1183.2,privater Brunnen,1992,Verteilnetz,Perronanlage Hauptbahnhof
8.53588347439855,47.3677332376532,856,1184,privater Brunnen,,Verteilnetz,Wasserspiel Elvia-Versicherung
8.59637665411039,47.3540950402946,857,1185,privater Brunnen,1995,Verteilnetz,
8.5841466010067,47.3616806426298,858,1187,Brunnen in städtischer Liegenschaft,1996,Verteilnetz,Freizeitanlage Buchholz
8.47906597443371,47.412215370111,859,1188,Brunnen in städtischer Liegenschaft,1995,Verteilnetz,Schulhaus
8.51235414338342,47.3324609159217,860,1190,Brunnen in städtischer Liegenschaft,1990,Verteilnetz,Friedhof
8.47710866112519,47.3807046379121,861,1191,Brunnen in städtischer Liegenschaft,1997,Verteilnetz,Sportanlage Buchlern
8.53511025861253,47.3424117909124,862,1192,Brunnen in städtischer Liegenschaft,,Verteilnetz,
8.50533999069297,47.3966565064627,863,1193,privater Brunnen,1997,Verteilnetz,
8.53235818010758,47.3705489271787,864,1196,Brunnen in städtischer Liegenschaft,1999,Verteilnetz,
8.50322777114791,47.3673799098756,865,1198,Brunnen in städtischer Liegenschaft,,Verteilnetz,GZ Heuried
8.48845164733252,47.3824804210138,866,1199,privater Brunnen,1999,Verteilnetz,
8.49583051313375,47.3654651122668,867,1202.3,Brunnen in städtischer Liegenschaft,,Verteilnetz,"Stadtspital Triemli, Maternité. Trinkbrunnen"
8.49773906213465,47.3655828407528,868,1202.2,Brunnen in städtischer Liegenschaft,,Verteilnetz,"Stadtspital Triemli, Spital"
8.49744051607423,47.3659504282596,869,1202.1,Brunnen in städtischer Liegenschaft,,Verteilnetz,"Stadtspital Triemli, Spital"
8.55058129100901,47.3762284044084,870,1210,privater Brunnen,,Verteilnetz,Im Park
8.49795485851151,47.3762966797849,871,1215,privater Brunnen,2002,Verteilnetz,
8.56579752515264,47.3815784344768,872,1216,Brunnen in städtischer Liegenschaft,2002,Verteilnetz,Schulhaus Heubeeribüel
8.5615474480772,47.3811183441681,873,1217,privater Brunnen,,Verteilnetz,hinter 50
8.5129108955924,47.3936874976368,874,1218,privater Brunnen,2002,Verteilnetz,
8.56825601887024,47.3656278704942,875,1219,privater Brunnen,,Verteilnetz,
8.51645426005351,47.3990744564121,876,1222,Brunnen in städtischer Liegenschaft,2002,Verteilnetz,Krankenheim Käferberg
8.53333127010743,47.4126968308091,877,1224,öffentlicher Brunnen,2003,Quellwasser,Binzmühle-/Regina Kägi-Strasse
8.54678353293546,47.384279152535,878,1227,Brunnen in städtischer Liegenschaft,2003,Verteilnetz,Schulhaus Scherr
8.55839817946188,47.376144806531,879,1234,Brunnen in städtischer Liegenschaft,,Quellwasser,Schulhaus Fluntern
8.55261372156242,47.4099611832552,880,1238,privater Brunnen,2004,Verteilnetz,Im Hof
8.51898039068555,47.3334808672328,881,133,öffentlicher Brunnen,1927,Verteilnetz,Station Leimbach
8.52432431155858,47.3680464748281,882,199.4,öffentlicher Brunnen,1931,Verteilnetz,
8.54718152014437,47.3858827990713,883,284,öffentlicher Brunnen,1928,Verteilnetz,Spielplatzanlage Oberstrasse
8.53934753217443,47.3953071753252,884,285,öffentlicher Brunnen,1928,Verteilnetz,Im Birkenhof
8.55633255744766,47.3766288498996,885,364,öffentlicher Brunnen,1962,Verteilnetz,unterhalb Treppe Kirche Fluntern
8.53996274009215,47.3771219821785,886,38,öffentlicher Brunnen,1880,Verteilnetz,Alfred-Escher-Brunnen
8.50506181279891,47.3995019142909,887,446,öffentlicher Brunnen,2000,Verteilnetz,Limmattalstrasse nach 111
8.54079879990619,47.3752748442434,888,47,öffentlicher Brunnen,1917,Verteilnetz,Felix und Regulabrunnen
8.55273710798186,47.3950962563132,889,509,öffentlicher Brunnen,1977,Verteilnetz,Wasserspiel über Reservoir
8.54439791932124,47.3701115003249,890,515,Brunnen in städtischer Liegenschaft,1964,Quellwasser,
8.54846389096942,47.3686110482701,891,516.1,privater Brunnen,1909,Verteilnetz,Höhere Töchterschule
8.54779062383905,47.3736703689051,892,517.3,Brunnen in städtischer Liegenschaft,1928,Quellwasser,Schulhaus Hirschengraben
8.54748151765646,47.3738374802582,893,517.2,Brunnen in städtischer Liegenschaft,1928,Quellwasser,Schulhaus Hirschengraben
8.54734740113933,47.3737882418731,894,517.1,Brunnen in städtischer Liegenschaft,1928,Quellwasser,Schulhaus Hirschengraben
8.5405975549237,47.3666815545646,895,52,öffentlicher Brunnen,1930,Verteilnetz,in der Anlage
8.54845494098759,47.3715276193647,896,521,Brunnen in städtischer Liegenschaft,1935,Verteilnetz,Schulhaus Wolfbach
8.54602539080582,47.3768316412485,897,522,Brunnen in städtischer Liegenschaft,1998,Verteilnetz,Pfrundhaus
8.54643844204118,47.3702580876684,898,526,Brunnen in städtischer Liegenschaft,1913,Quellwasser,Villa Tobler
8.53412622719549,47.3410567741272,899,529.2,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Wollishofen
8.53383300938834,47.3417604100055,900,529.1,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Wollishofen
8.54677491237475,47.3709208888465,901,53,öffentlicher Brunnen,1931,Verteilnetz,Manessebrunnen
8.53363378116867,47.3572797379359,902,533,Brunnen in städtischer Liegenschaft,,Verteilnetz,
8.52995456429024,47.3602542251234,903,535.2,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Gabler
8.52671598054961,47.348083027356,904,536,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Manegg
8.52662452837518,47.3400627681949,905,537,Brunnen in städtischer Liegenschaft,,Verteilnetz,beim Kindergarten
8.51702212550525,47.3333898519081,906,539,Brunnen in städtischer Liegenschaft,,Verteilnetz,beim Kindergarten
8.53315100704462,47.338364965721,907,540,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulpavillon
8.51547590777353,47.3335647713356,908,541,Brunnen in städtischer Liegenschaft,1953,Verteilnetz,Schulhaus Leimbach Falletsche
8.51631799802216,47.3684601052803,909,547,Brunnen in städtischer Liegenschaft,1976,Verteilnetz,Schulhaus Bühl B
8.5167734735297,47.3732776317873,910,557,Brunnen in städtischer Liegenschaft,,Verteilnetz,Kindergartengebäude
8.5465784031685,47.3682854364587,911,56,öffentlicher Brunnen,1935,Verteilnetz,Waldmannbrunnen
8.50375167217106,47.3715445776068,912,560,Brunnen in städtischer Liegenschaft,1949,Verteilnetz,Schulhaus Im Gut
8.51708177313328,47.365366802501,913,561.2,Brunnen in städtischer Liegenschaft,1951,Verteilnetz,Schulhaus Rebhügel
8.51665601599204,47.3661472278369,914,561.1,Brunnen in städtischer Liegenschaft,1951,Verteilnetz,Schulhaus Rebhügel
8.5035541377655,47.3683516194583,915,562,Brunnen in städtischer Liegenschaft,1954,Verteilnetz,Kindergarten
8.50283038806479,47.36822168159,916,563.1,Brunnen in städtischer Liegenschaft,1954,Verteilnetz,Schulhaus Küngenmatt
8.50518516227871,47.37968470096,917,1236,Brunnen in städtischer Liegenschaft,,Verteilnetz,"Heiligfeld, Wasserspiel auf Spielplatz"
8.49948712622936,47.3641887026417,918,565.2,Brunnen in städtischer Liegenschaft,1964,Verteilnetz,Schulhaus Döltschi
8.50008410076268,47.3643432855131,919,565.1,Brunnen in städtischer Liegenschaft,1964,Verteilnetz,Schulhaus Döltschi
8.53058054289238,47.3848229720137,920,576,Brunnen in städtischer Liegenschaft,1909,Verteilnetz,Im Hofe
8.53748334484187,47.3958916522535,921,586.1,Brunnen in städtischer Liegenschaft,1930,Verteilnetz,Schulhaus Milchbuck
8.53792598464176,47.3956707418479,922,586.2,Brunnen in städtischer Liegenschaft,1930,Verteilnetz,Schulhaus Milchbuck
8.54180275108411,47.387898409858,923,588,Brunnen in städtischer Liegenschaft,1904,Verteilnetz,Schulhaus Turnerstrasse
8.53928721066233,47.4021900871832,924,592.2,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Allenmoos I
8.54010164391842,47.4009799844489,925,593.2,Brunnen in städtischer Liegenschaft,1957,Verteilnetz,Sportplatz Steinkluppe
8.54061233970917,47.4011552422033,926,593.1,Brunnen in städtischer Liegenschaft,1957,Verteilnetz,Sportplatz Steinkluppe
8.54877122462014,47.3820876466865,927,594,Brunnen in städtischer Liegenschaft,1959,Verteilnetz,Schulhaus Huttenstrasse
8.56507718362059,47.3624200231739,928,597,Brunnen in städtischer Liegenschaft,1938,Verteilnetz,Schulhaus Hofackerstrasse  Turnhalle
8.5548298217165,47.3659258776855,929,598,Brunnen in städtischer Liegenschaft,,Verteilnetz,Spielplatz
8.55641053108804,47.3695700023324,930,599,Brunnen in städtischer Liegenschaft,,Verteilnetz,beim Kreisgebäude
8.58754042589869,47.3568723504143,931,600,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Langmatt
8.56951984615217,47.3598431511468,932,604,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Forchstrasse
8.552312072056,47.3681187152919,933,605,Brunnen in städtischer Liegenschaft,,Verteilnetz,Gottfried Keller-Schulhaus
8.58103673538921,47.4056410716822,934,6051,Notwasserbrunnen,1984,Quellwasser,
8.58686210658859,47.3570106894721,935,607,Brunnen in städtischer Liegenschaft,1954,Verteilnetz,Schulhaus Langmatt
8.56540267021044,47.3816669938501,936,608,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Heubeeribüel
8.59678673191874,47.3613774286223,937,610.1,Brunnen in städtischer Liegenschaft,1967,Verteilnetz,Schulhaus Looren A
8.55886982524425,47.3608066034393,938,612,Brunnen in städtischer Liegenschaft,,Verteilnetz,Anlagen bei der Kirchen
8.55306099877394,47.3549821364013,939,614,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulpavillon Hornbachstrasse
8.57762833586015,47.3541242448616,940,620,Brunnen in städtischer Liegenschaft,1953,Verteilnetz,Schulhaus Balgrist
8.48638527668564,47.3859662777268,941,624,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Altstetterstrasse
8.54305585902022,47.3699017467596,942,63,öffentlicher Brunnen,1942,Verteilnetz,beim Helmhaus
8.48164346057127,47.3901209894565,943,631,Brunnen in städtischer Liegenschaft,1954,Verteilnetz,"Schulhaus Herrlig, Kindergarten"
8.4971805252894,47.370907181583,944,633.3,Brunnen in städtischer Liegenschaft,1957,Verteilnetz,Schulhaus Letzi
8.49753965396087,47.3706577303485,945,633.2,Brunnen in städtischer Liegenschaft,1957,Verteilnetz,Schulhaus Letzi
8.48793539193364,47.3842938326966,946,634,privater Brunnen,1991,Verteilnetz,Spielplatz bei Kirche
8.52195292395417,47.399035968703,947,644,Brunnen in städtischer Liegenschaft,1953,Verteilnetz,beim Kiosk
8.49058029577604,47.4049681775438,948,645.2,Brunnen in städtischer Liegenschaft,1953,Verteilnetz,Schulhaus Lachenzelg
8.48927622001374,47.4053840752784,949,645.1,Brunnen in städtischer Liegenschaft,1953,Verteilnetz,Schulhaus Lachenzelg
8.48924948189933,47.4050763393172,950,645.3,Brunnen in städtischer Liegenschaft,1953,Verteilnetz,Schulhaus Lachenzelg
8.53475857107044,47.3854825171072,951,646.1,Brunnen in städtischer Liegenschaft,,Verteilnetz,Badanstalt
8.53540304774132,47.3851071428898,952,646.2,Brunnen in städtischer Liegenschaft,,Verteilnetz,Badanstalt
8.5356178349378,47.3849611640333,953,646.3,Brunnen in städtischer Liegenschaft,,Verteilnetz,Badanstalt
8.52674066593459,47.3947904317455,954,648.2,Brunnen in städtischer Liegenschaft,1961,Verteilnetz,"Schulhaus Nordstrasse , Pausenplatz"
8.52656549653185,47.3949867072422,955,648.1,Brunnen in städtischer Liegenschaft,1961,Verteilnetz,"Schulhaus Nordstrasse , Pausenplatz"
8.54151035358031,47.4078687385345,956,653.2,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Gubel A und B
8.54467137834488,47.4065402047113,957,654,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Ligusterstrasse
8.54507380878872,47.4082271360432,958,659,Brunnen in städtischer Liegenschaft,,Verteilnetz,Gewerbeschulhaus Oerlikon
8.55471811440545,47.4049948608149,959,663,Brunnen in städtischer Liegenschaft,,Verteilnetz,Kindergarten
8.57832497993252,47.4008920811298,960,664,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulpavillon
8.52262498667745,47.4118303559348,961,666.1,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Käferholz
8.56722873090821,47.4046110653755,962,667,Brunnen in städtischer Liegenschaft,1947,Verteilnetz,Schulhaus Ahornstrasse 8
8.51260283810996,47.4184222407619,963,669,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Riedenhalden
8.56224200924579,47.4082358039748,964,670.2,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Saatlen
8.56291487222741,47.4085785580311,965,670.1,Brunnen in städtischer Liegenschaft,,Verteilnetz,Schulhaus Saatlen
8.54008116377126,47.42703667081,966,672,Brunnen in städtischer Liegenschaft,1951,Verteilnetz,Schulhaus Buchwiesen
8.57697660113806,47.4014811309837,967,673,Brunnen in städtischer Liegenschaft,1951,Verteilnetz,Schulhaus Probstei
